id|nome|lat|lon|codeserc|tipologia|indirizzo|cap|comune|provincia|stelle|email|url|telefono|
14017|FORNI ROSAIA|44.2270033|10.029223799999954|045001AAT0001|Agriturismi|PIAZZA PUCCINI 1 - Loc. Olivola|54011|Aulla|MS|0|luciar.72@gmail.com|||
13995|POW WOW DI GRULLI ARISTIDE|44.232061100000003|10.049777499999999|045001AAT0006|Agriturismi|San Domenico la Cavana, 0 - Loc. Bigliolo|54011|Aulla|MS|0|info@powwowlunae.it|www.powwowlunae.it|0039-388-9770977|
13820|VALLE FIORITA|44.225616500000001|10.018136999999999|045001AAT0012|Agriturismi|Via AIA DI BELLONE - Loc. Valenza|54011|Aulla|MS|0|putamorsi@libero.it|www.agriturismovallefiorita.com|0039-0187-471325|
13924|LA SELVA|44.2166706|9.9674972000000004|045001AAT0013|Agriturismi|Selva, 0 - Loc. Selva|54011|Aulla|MS|0|||0039-329-7050195|
13843|FIORENTINI GIANLUCA|44.2166706|9.9674972000000004|045001AAT0014|Agriturismi|sanacco, 1 - Loc. Quercia|54010|Aulla|MS|0|||0039-347-0526169|
13832|VILLA MIMOSA|44.174129100000002|9.9122862999999999|045001AFR0003|Affittacamere|Via MAESTRO FERRARI 7 - Loc. Albiano Magra|54011|Aulla|MS|0|||0039-0187-415052|
13783|DEMY|44.215124000000003|9.9673911000000004|045001ALB0002|Alberghi - Hotel|Via Salucci, 9|54011|Aulla|MS|3|info@demyhotel.it|www.demyhotel.it|0039-0187-408370|
13717|PASQUINO|44.2166706|9.9674972000000004|045001ALB0003|Alberghi - Hotel|PIAZZA MAZZINI 22 - Fraz. pippo|54011|Aulla|MS|2|info@albergopasquino.it|www.albergopasquino.it|0039-0187-420509|
13848|CASA BARANI|44.205532599999998|9.9698068000000006|045001ALL0003|Alloggi Privati|Via SPRINI 7/A - Fraz. Sprini|54010|Aulla|MS|0|odilbar47@libero.it|www.bbplanet.it|0039-347-4657930|
13803|B&B LO SPIGO|44.232061100000003|10.049777499999999|045001ALL0006|Alloggi Privati|Via MONTE BARDELLI - Loc. Bigliolo|54011|Aulla|MS|0|info@lospigo.it|www.lospigo.it|0039-339-5845242|
17369|IL MELOGRANO|44.2166706|9.9674972000000004|045001ALL0010|Alloggi Privati|Libertà, 14/F - Loc. AULLA - Fraz. Albiano Magra|54010|Aulla|MS|0|ilmelogranobeb@hotmail.it||0039-0187-415184|
23136|Micciulla Fabrizio|44.201907599999998|10.0239473|045001ALL0011|Alloggi Privati|Filippo Turati, 317 - Loc. Pallerone|54011|Aulla|MS|0|micisport@gmail.com||0039-347-2518096|
21952|B&B CASA RO'|44.174129100000002|9.9122862999999999|045001ALL0012|Alloggi Privati|Via Amola, 18 - Loc. Albiano Magra|54011|Aulla|MS|0|perst16libero.it||0039-0187-415439|
13778|MULINO DI RIPA|44.206359999999997|9.9754100000000001|045001CAV0001|Case per Vacanze|Via Molino, 1 - Loc. Quercia|54011|Aulla|MS|0|stefanocresci@virgilio.it||333-2958175|
14053|GIUNASCO|44.315319600000002|9.9956531000000002|045002AAT0002|Agriturismi|Giunasco - Loc. Orturano|54021|Bagnone|MS|0|monique@giunasco.it|www.giunasco.it|0187-427019|
13771|CA' DEL SASSO|44.288141899999999|9.9982670999999996|045002AAT0005|Agriturismi||54021|Bagnone|MS|0||||
13831|FATTORIA DEL DEGLIO|44.3171933|10.013592900000001|045002AAT0006|Agriturismi|Stagnai, 0 - Fraz. Deglio|54021|Bagnone|MS|0|lucy70b@libero.it||0039-0187-421322|
20513|LA VALLE DELLA LUNA BIO|44.314679900000002|9.9945108000000005|045002AAT0007|Agriturismi|Vallescura, 2 - Loc. Vallescura|54021|Bagnone|MS|0|info@lavalledellalunabio.it|www.lavalledellalunabio.it|0187-494684|
22383|AL VECCHIO PODERE|44.314679900000002|9.9945108000000005|045002AAT0008|Agriturismi|Mochignano di Sotto - Loc. Bagnone - Fraz. Mochignano|54021|Bagnone|MS|0|negrari93@virgilio.it||0039-339-2953635|
13829|RUZZI FRANCESCA|44.314679900000002|9.9945108000000005|045002AFR0001|Affittacamere|Piazza Marconi, 1 - Loc. BAGNONE|54021|Bagnone|MS|0|||0039-0187-429670|
13920|B&B POGGIO DELLE RONDINI|44.315319600000002|9.9956531000000002|045002ALL0001|Alloggi Privati|Via MOCHIGNANO CHIESA 6|54021|Bagnone|MS|0|mail@poggiodellerondini.it|www.poggiodellerondini.it|0039-0187-429426|
14024|B&B BAGNONEVILLAGE|44.314679900000002|9.9945108000000005|045002ALL0002|Alloggi Privati|Grott? , 21 - Fraz. Bergiola|54021|Bagnone|MS|0|info@alnidodelcuculo.com|www.bagnonevillage.it|0039-347-0418623|
17069|HERVE|44.010444900000003|10.095630699999999|045010ALB0142|Alberghi - Hotel|Via Vicenza, 7|0|Massa|MS|0|||00390585240382|
22438|B&B UVA FRAGOLA|44.332590400000001|9.9950694000000002|045002ALL0003|Alloggi Privati|Via Seregnone, 4 - Loc. Corlaga|54021|Bagnone|MS|0|info@uva-fragola.it|www.bnb.uva-fragola.it|0039-342-8856484|
17872|ANTICHE DIMORE DEL TERZIERE|44.314679900000002|9.9945108000000005|045002CAV0002|Case per Vacanze|Via del Borgo - Loc. Castiglione del Terziere|54021|Bagnone|MS|0|info@dimoredelterziere.com|www.dimoredelterziere.com|0039-0187-429100|
17870|Il Mulino del tempo perduto|44.315319600000002|9.9956531000000002|045002CAV0003|Case per Vacanze|Piazza Roma, 0 - Loc. BAGNONE - Fraz. Piallastra Le tre fontane|54021|Bagnone|MS|0|debdorsi73@hotmail.it||0039-0572-524578|
17054|LA GUTULA|44.315415000000002|9.994313|045002OST0001|Ostelli|Piazza Marconi, 3 - Loc. AULLA|54021|Bagnone|MS|0|andreanegrari@commercialistii.fi.it|||
13861|IL GIARDINO DELLA LUNA|44.297254356378247|9.9942111968994141|045002REP0001|Residenze d'Epoca|LOC CASTIGLIONE DEL TERZIERE|54021|Bagnone|MS|0|info@ilgiardinodellaluna.it|www.ilgiardinodellaluna.it|0039-0187-429152|
13966|FATTORIA BATTILANA|44.035967900000003|10.0438256|045003AAT0001|Agriturismi|pontremoli, 9 - Loc. Marina di Carrara|54033|Carrara|MS|0|info@fattoriabattilana.com|www.fattoriabattilana.com|0039-0585-780663|
13738|BAGNO STELLA DEL MARE|44.079324499999998|10.097676999999999|045003AFR0004|Affittacamere|Viale Colombo, 68 - Loc. Marina di Carrara|54036|Carrara|MS|0|info@hotelstelladelmare.com|www.hotelstelladelmare.com|0039-0585-785190|
13804|BAGNO LUNEZIA|44.035967900000003|10.0438256|045003AFR0006|Affittacamere|Viale COLOMBO 74 - Loc. Marina di Carrara|54033|Carrara|MS|0|info@bagnolunezia.it|www.bagnolunezia.it|0039-0585-630795|
17655|B&B MAGNOLIA|44.079337000000002|10.101236|045003AFR0008|Affittacamere|Viale XX Settembre, 142 - Loc. Localita' Stadio|54033|Carrara|MS|0|info@bedandbreakfastmagnolia.it|www.bedandbreakfastmagnolia.it|0039-0585-840610|
17873|B&B VILLA BELVERDE|44.066940078432907|10.075962090213011|045003AFR0009|Affittacamere|XX Settembre, 73 - Loc. CARRARA|54033|Carrara|MS|0|info@villabelverde.it|www.villabelverde.it|0039-0585-845304|
17869|B&B VILLA ACERO|44.044694999999997|10.044282000000001|045003AFR0010|Affittacamere|Via Bigioni, 54 bis - Fraz. Marina di Carrara|54033|Carrara|MS|0|info@villaacero.net|www.villaacero.it|0039-0585-787693|
19099|B&B RESIDENZA MARINA|44.040665142997703|10.034948616996758|045003AFR0011|Affittacamere|Via Venezia, 72 - Fraz. Marina di Carrara|54033|Carrara|MS|0|info@residenzamarina.it|www.residenzamarina.it|0039-338-5348435|
19100|B&B Venezia|44.0359604|10.043816|045003AFR0012|Affittacamere|Viale Amerigo Vespucci, 30 - Loc. Marina di Carrara|54033|Carrara|MS|0|info@bagnovenezia.eu|www.bagnovenezia.eu|0039-0585-041795|
19914|ACCOMMODATION IN .. CARRARA|44.082757700000002|10.1037608|045003AFR0013|Affittacamere|Via Carriona di Colonnata, 41 - Loc. Carrara|54033|Carrara|MS|0|info@accommodationincarrara.com|www.accommodationcarrara.com|0039-0585-777000|
20412|B&B LA CHICCA|44.0786473|10.124466399999999|045003AFR0015|Affittacamere|Carlo Pisacane - Fraz. Bedizzano|54033|Carrara|MS|0|info@bblachicca.com|www.bblachicca.com|0039-346-6774102|
21510|B&B NANNALIA|44.035967900000003|10.043825599999991|045003AFR0016|Affittacamere|Viale Monzoni, 107 bis - Loc. Marina di Carrara|54033|Carrara|MS|0|info@nannalia.it|www.nannalia.it|0039-0585-786040|
23013|ALBERICA 10|44.079391000000001|10.097901999999999|045003AFR0017|Affittacamere|Piazza Alberica 10 - Loc. Carrara|54033|Carrara|MS|0|info@alberica10.com|www.alberica10.com|0039-0585-72817|
23014|RESIDENZA MARINA GARDEN B&B|44.040742600000002|10.0350097|045003AFR0018|Affittacamere|Via Venezia, 70 - Loc. Carrara|54033|Carrara|MS|0|info@residenzamarina.it|www.residenzamarina.it|338-5348635|
24464|DUOMOSETTE|44.079908600000003|10.0993022|045003AFR0019|Affittacamere|Piazza Duomo, 7 - Loc. Carrara|54033|Carrara|MS|0|lorenzovalentine@gmail.com||345-2688257|
24859|B&B COSTA DEI MARMI|44.048039500000002|10.0236106|045003AFR0020|Affittacamere|Via Bassagrande, 65 - Loc. Marina di Carrara|54033|Carrara|MS|0|info@costadeimarmi.it|www.costadeimarmi.it|338-5348435|
25045|B&B MERLO D'ORO|44.059058999999998|10.062187|045003AFR0021|Affittacamere|Via Cassola,24 - Fraz. Avenza|54033|Carrara|MS|0|merlodorobeb@gmail.com||0039-0585-856221|
13706|CARRARA|44.051132000000003|10.061886100000001|045003ALB0003|Alberghi - Hotel|Via Enzo Petacchi, 21 - Loc. Avenza|54033|Carrara|MS|3|info@hotelcarrara.it|www.hotelcarrara.com|0039-0585-52371|
13963|MAURIN|44.049949900000001|10.049189999999999|045003ALB0005|Alberghi - Hotel|Via Fiorino, 2 - Loc. Avenza|54033|Carrara|MS|1|maurin@email.it|www.maurin1952.it|0039-0585-859385|
13704|SERGIO|44.049949900000001|10.049189999999999|045003ALB0006|Alberghi - Hotel|S.P. Avenza Carrara, 180 - Loc. Avenza|54033|Carrara|MS|2|hotelsergio@tin.it||0039-0585-858938|
13823|ATLANTIC|44.038048600000003|10.0340512|045003ALB0014|Alberghi - Hotel|Viale Vespucci , 36 - Loc. Marina di Carrara|54033|Carrara|MS|2|info@hotel-atlantic.it|www.hotel-atlantic.it|0039-0585-630018|
13961|TENDA ROSSA|44.009639499999999|10.100174000000001|045003ALB0017|Alberghi - Hotel|Viale Cristoforo Colombo, 14 - Loc. Marina di Carrara|54033|Carrara|MS|3|info@hoteltendarossa.com|www.hoteltendarossa.com|0039-0585-787435|
13858|MORGANA|44.035967900000003|10.0438256|045003ALB0019|Alberghi - Hotel|Viale Colombo, 12 - Loc. Marina di Carrara|54033|Carrara|MS|3|info@hotelmorgana.it|www.hotelmorgana.it|0039-0585-785545|
14005|RADAR|44.079337000000002|10.101236|045003ALB0025|Alberghi - Hotel|Via DELLE MACCHIACCE 13 - Loc. Santa Lucia - Fraz. Fontia|54033|Carrara|MS|1|hotelradarcarrara@gmail.com|www.ristorante-radar.it|0039-0585-842840|
13819|DELFINO|44.035967900000003|10.0438256|045003ALB0027|Alberghi - Hotel|VIALE COLOMBO 68 - Loc. Marina di Carrara|54033|Carrara|MS|3|info@hoteldelfinomarinadicarrara.com|www.hoteldelfinomarinadicarrara.com|0039-0585-788423|
13977|EXCLUSIVE HOTEL|44.039980399999997|10.0331954|045003ALB0028|Alberghi - Hotel|Via Colombo, 59 - Loc. Marina di Carrara|54033|Carrara|MS|3|info@exclusivecarrara.com|www.exclusivecarrara.com|0039-0585-789263|
19095|LA PINETA|44.0359604|10.043816|045003ALB0029|Alberghi - Hotel|CORSO ROSSELLI 3 - Loc. Marina di Carrara|54033|Carrara|MS|2|info@hotelristorantelapineta.com|www.hotelristorantelapineta.com|0039-0585-777161|
19104|IL NIDO DEL CUCULO|44.066611199999997|10.1241165|045003ALL0002|Alloggi Privati|Nuova Bergiola, 33 - Loc. CARRARA - Fraz. bergiola|54033|Carrara|MS|0|info@alnidodelcuculo.com|www.ilnidodelcuculo.com|0039-0585-73252|
13885|I PONTI DI VARA|44.083190899999998|10.1164173|045003ALL0003|Alloggi Privati|LARGO DEI CANEPARI 12 - Fraz. Miseglia|54033|Carrara|MS|0|marmorinilaura@virgilio.it|www.ipontidivara.cjb.net|0039-0585-77102|
